Input,Output
真巧,车没事了
车没事了,是你呀 没事了没事 谢谢你
是你呀 没事了没事 谢谢你,没事没事 你也去春风
没事没事 你也去春风,对
对,你孩子也在这上学
你孩子也在这上学,对呀
对呀,真巧 我儿子也在这
真巧 我儿子也在这,你孩子几年级
你孩子几年级,高三了
高三了,哪个班
哪个班,三班啊
三班啊,我儿子也三班
我儿子也三班,我儿子叫方一凡
我儿子叫方一凡,你孩子叫什么
你孩子叫什么,我儿子叫季杨杨
我儿子叫季杨杨,季杨杨，好像我听凡凡说过
季杨杨，好像我听凡凡说过,对
对,是不是每次开家长会来的都是他爸爸
是不是每次开家长会来的都是他爸爸,那是他舅舅
那是他舅舅,我说呢这么年轻
妈,你不要叫我妈
你不要叫我妈,我不是你妈
妈，我错了,你没错
你没错,我错了
我错了,我为什么要生你
我为什么要生你,我吃饱了撑的我就不该生你
我吃饱了撑的我就不该生你,方一凡我真的不明白你脑子里面天天在想什么
方一凡我真的不明白你脑子里面天天在想什么,你是不是真的不知道现在高几了
你是不是真的不知道现在高几了,你不知道我告诉你
你不知道我告诉你,你现在高三了
你现在高三了,不再是高一高二了
不再是高一高二了,你说
你说,你说你 天天天天
你说你 天天天天,学习不灵，打架门清，一个暑假我给你报个补习班
学习不灵，打架门清，一个暑假我给你报个补习班,原指望你好好学习能上去
原指望你好好学习能上去,结果断崖式的下滑
结果断崖式的下滑,你对得起我吗
你对得起我吗,妈妈高三那年妈妈怎么跟你讲的吗
其他都特别棒,你为什么一点不随妈妈
你为什么一点不随妈妈,凡凡
我随我爸爸,你也没随你爸
你也没随你爸,你爸也是学霸
你爸也是学霸,当年成绩也很好
当年成绩也很好,这两年才堕落的
这两年才堕落的,才玩物丧志的
才玩物丧志的,还给你搞什么乌龟
然后咱不是说好还得去趟超市吗,方一凡你什么都能记住
方一凡你什么都能记住,又是超市又是烤鸭
又是超市又是烤鸭,你就是不记住你的学习上的事
你就是不记住你的学习上的事,是不是
别生气了,凡凡，磊磊来了
凡凡，磊磊来了,你真的要懂事一些
你真的要懂事一些,磊磊妈妈走了
磊磊妈妈走了,他爸爸对他不怎么样也不上心
他爸爸对他不怎么样也不上心,摊上那么个后妈
摊上那么个后妈,磊磊来了你要跟他好好相处
磊磊来了你要跟他好好相处,要好好向他学习
要好好向他学习,磊磊等于跟你是有1/4血缘关系的
磊磊等于跟你是有1/4血缘关系的,真等于亲兄弟
真等于亲兄弟,你听到没有
他有北京户口吗,你操这个心干什么
你操这个心干什么,该你操心的你不操心
该你操心的你不操心,不该你操心的你瞎操心
不该你操心的你瞎操心,他怎么没有北京户口
他怎么没有北京户口,你大姨他当年嫁到福建的时候
你大姨他当年嫁到福建的时候,户口没调过去
户口没调过去,他随你大姨一直留在北京的户口就在咱们家
你早跟我说不就完了吗,你问我了吗
你问我了吗,李老师
李老师,坐吧
坐吧,李老师高三学生蹲班的事情
李老师高三学生蹲班的事情,我想再跟你沟通一下
我想再跟你沟通一下,我们校领导班组昨天专门开会
我们校领导班组昨天专门开会,就这个问题也进行了上会讨论
就这个问题也进行了上会讨论,最后一致认为不能开蹲班这个口子
最后一致认为不能开蹲班这个口子,这届学生都正常升入高三
这届学生都正常升入高三,校长我之前在动员会上已经强调过了
校长我之前在动员会上已经强调过了,我提议让部分学生蹲班是基于这一届学生的实际情况而来的
我提议让部分学生蹲班是基于这一届学生的实际情况而来的,这一届学生里边尾部的学生成绩离本科线差距确实是很大
这一届学生里边尾部的学生成绩离本科线差距确实是很大,所以我是担心
所以我是担心,我知道你担心什么李老师
我知道你担心什么李老师,你担心升学率
你担心升学率,本科率对不对
本科率对不对,你也带了这么多年的高三教学成绩可以说是有目共睹
你也带了这么多年的高三教学成绩可以说是有目共睹,作为校长
作为校长,我应该特别感谢你的付出和努力
我应该特别感谢你的付出和努力,但是我也希望你能明白一点
但是我也希望你能明白一点,高考成绩确实重要
高考成绩确实重要,但高考本身它只是一个过程
但高考本身它只是一个过程,我们教书育人
我们教书育人,核心就是培养我们的学生
核心就是培养我们的学生,让他们成才
让他们成才,而不是一味的追求升学率的数字
而不是一味的追求升学率的数字,校长您说的这些我都明白
校长您说的这些我都明白,而且我觉得这两者之间并不冲突
而且我觉得这两者之间并不冲突,对于升学率这个问题
对于升学率这个问题,我觉得你对我有误会
我觉得你对我有误会,我不是一味的追求升学率
我不是一味的追求升学率,这个事我只是希望能够对待每一个同学都能因材施教
这个事我只是希望能够对待每一个同学都能因材施教,制定一个最适合他们的教学方式
制定一个最适合他们的教学方式,你与其让这些没有准备好的孩子去经历一次高考的失败
你与其让这些没有准备好的孩子去经历一次高考的失败,你莫不如给他们多一些时间让他们做准备
你莫不如给他们多一些时间让他们做准备,但是李老师你有没有考虑过蹲班留级这样的事情
但是李老师你有没有考虑过蹲班留级这样的事情,对一个学生来说
对一个学生来说,可能会造成怎样的心理阴影
可能会造成怎样的心理阴影,咱们换位思考
咱们换位思考,如果是你你真的愿意接受学校这样的安排吗
如果是你你真的愿意接受学校这样的安排吗,李老师作为年轻教师
李老师作为年轻教师,你有拼劲
你有拼劲,有闯劲
有闯劲,有拼搏的劲头
有拼搏的劲头,我们都很认可
我们都很认可,但是如今高中生的培养
但是如今高中生的培养,心理层面的教育跟学科层面的教育一样重要
心理层面的教育跟学科层面的教育一样重要,这一点作为年级组长的你更应该清楚
这一点作为年级组长的你更应该清楚,更应该掌握好
更应该掌握好,我们做老师的还是要相信所有的教育都会有收获的那一天
我们做老师的还是要相信所有的教育都会有收获的那一天,行 校长
行 校长,我明白了
我明白了,我一会就去通知各个家长
我一会就去通知各个家长,然后重新沟通一下这个事情
然后重新沟通一下这个事情,我也会告诉各个班的班主任做好后续的跟进工作
我也会告诉各个班的班主任做好后续的跟进工作,好
好,李老师我是充分相信你和全体高三老师的能力
李老师我是充分相信你和全体高三老师的能力,我相信这一届高三学生到毕业那天同样会非常出色
我相信这一届高三学生到毕业那天同样会非常出色,正等着你
正等着你,那什么，处理完了，没事了吧
那什么，处理完了，没事了吧,都是你惯的
都是你惯的,没事你给他什么车
没事你给他什么车,没说给他就让他开一下
没说给他就让他开一下,我这不答应杨杨，他拿到驾照
我这不答应杨杨，他拿到驾照,让他开一开车
让他开一开车,你这样会把他惯坏的知道吗
你这样会把他惯坏的知道吗,要什么给什么
要什么给什么,姥姥姥爷也是的
姥姥姥爷也是的,什么都由着
什么都由着,是害了他知道吗
是害了他知道吗,是，这点我完全同意
是，这点我完全同意,但是姥姥姥爷宠着
但是姥姥姥爷宠着,那是因为你们常年不在怕委屈了孩子
那是因为你们常年不在怕委屈了孩子,没事啊
没事啊,这问题马上解决了
这问题马上解决了,你们住在一块
你们住在一块,慢慢严格要求
慢慢严格要求,现在严格要求就怕来不及了
现在严格要求就怕来不及了,他根本都不听我的
他根本都不听我的,就别说他爸爸了
就别说他爸爸了,三句话不过就翻车了
三句话不过就翻车了,刘铮
刘铮,他是不是老跟你说
他是不是老跟你说,不想跟我们在一块住
不想跟我们在一块住,孩子的话不能往心里头去
孩子的话不能往心里头去,杨杨是个聪明孩子
杨杨是个聪明孩子,要怪只能说你们之前陪伴的少
要怪只能说你们之前陪伴的少,人发发牢骚也是正常的
人发发牢骚也是正常的,是不是
是不是,没事
没事,等他住在一块慢慢就好了
等他住在一块慢慢就好了,你真能定吗
你真能定吗,合适
合适,你要能定的话
你要能定的话,我就找人帮你打扫了
我就找人帮你打扫了,另外我姐夫不是喜欢中式家具吗
另外我姐夫不是喜欢中式家具吗,我得搞一套给搁里头
我得搞一套给搁里头,别
别,你姐夫他就怕招摇
你姐夫他就怕招摇,你千万别给他弄那么贵的中式家具
你千万别给他弄那么贵的中式家具,不用
不用,放心
放心,我保证找一套实惠便宜保证不招摇的好吧
我保证找一套实惠便宜保证不招摇的好吧,这事你甭管了
这事你甭管了,我来办
我来办,迷妹挺多
迷妹挺多,你怎么在这呢
你怎么在这呢,你的车没事吧
都过去,方一凡这人你也知道
方一凡这人你也知道,并不坏
并不坏,爱乍乎
爱乍乎,成天招猫斗狗的
成天招猫斗狗的,你就别跟他计较了
别跟我提他,回来了
回来了,回来了
回来了,是不是都饿了
是不是都饿了,马上开饭
马上开饭,今儿没学生啊
今儿没学生啊,今儿我太忙
今儿我太忙,又弄这种药膳
又弄这种药膳,不喜欢喝这种药味汤
不喜欢喝这种药味汤,不是给你的放心
不是给你的放心,是给妈自己喝的
是给妈自己喝的,你怎么了
你怎么了,不舒服吗
不舒服吗,最近睡的不好
最近睡的不好,睡得不好 老是失眠
睡得不好 老是失眠,可能是压力太大了
可能是压力太大了,又怨压力大
又怨压力大,你说什么
你说什么,没什么
没什么,我学习去了
我学习去了,先别学了
先别学了,把饭吃了再说
把饭吃了再说,你压力大
你压力大,我压力才大
我压力才大,alexander懂不懂
daddy,你怎么来了
我给孩子拿着点东西,咱们说好了一个月见一次的
咱们说好了一个月见一次的,别坏了规矩好不好
别坏了规矩好不好,天天来打扰，你先回去把
你把门打开,他那做卷子
他那做卷子,我这也有学生都挺忙的
我这也有学生都挺忙的,别打扰了
别打扰了,先回去
先回去,怎么上来的
人家物业经理亲自把我送上来的,有本事让他送进门
有本事让他送进门,你一趟趟跑
你一趟趟跑,你到底要干嘛
我给孩子把货送过来,高三哪有时间玩这个
高三哪有时间玩这个,拿走
我这当爸爸的不得支持吗,那么多年都没见你支持
那么多年都没见你支持,到了高三了支持什么
到了高三了支持什么,不行
我就放下就走了,不知道他现在很忙
你就让我进去好不好,不行
英子,爸 你咋来了 
你看看,对对对
对对对,这就是我想的型号
这就是我想的型号,谢谢
谢谢,要不您还是拿回去
要不您还是拿回去,我最近忙着学习
我最近忙着学习,我妈肯定不让我玩
最近怎么那么忙,这不是快分班考了吗
这不是快分班考了吗,我妈整天盯着我做题
你跟爸说说你大学想考哪个学校,大学 这不还有一年吗
大学 这不还有一年吗,爸
爸,你怎么突然这么关心我学习了
准备过来帮帮他,您不来帮他忙了
您不来帮他忙了,手感不错吧
手感不错吧,这个可是我妈为了我的高三 给我装的隔音墙
这个可是我妈为了我的高三 给我装的隔音墙,据说这隔音量
据说这隔音量,能够达到45分贝
就手感不错,我骗你干嘛
我骗你干嘛,这就跟明星录唱片的地方
这就跟明星录唱片的地方,就录音棚一个效果
就录音棚一个效果,你里边说什么外面都听不到
不是，你不是说听不见吗,那也没让你有吼的大哥
那也没让你有吼的大哥,把门关上
把门关上,你誓师大会要跟谁见
你誓师大会要跟谁见,你要跟谁见啊
我作为爸爸我还不能见孩子吗,这扯什么，我什么时候不让你见孩子了
这扯什么，我什么时候不让你见孩子了,你跟我扯是吧
你跟我扯是吧,好好我给你算
