Input,Output
你问我了吗,李老师
李老师,坐吧
坐吧,李老师高三学生蹲班的事情
李老师高三学生蹲班的事情,我想再跟你沟通一下
我想再跟你沟通一下,我们校领导班组昨天专门开会
我们校领导班组昨天专门开会,就这个问题也进行了上会讨论
就这个问题也进行了上会讨论,最后一致认为不能开蹲班这个口子
最后一致认为不能开蹲班这个口子,这届学生都正常升入高三
所以我是担心,我知道你担心什么李老师
我知道你担心什么李老师,你担心升学率
你担心升学率,本科率对不对
本科率对不对,你也带了这么多年的高三教学成绩可以说是有目共睹
你也带了这么多年的高三教学成绩可以说是有目共睹,作为校长
作为校长,我应该特别感谢你的付出和努力
我应该特别感谢你的付出和努力,但是我也希望你能明白一点
但是我也希望你能明白一点,高考成绩确实重要
高考成绩确实重要,但高考本身它只是一个过程
但高考本身它只是一个过程,我们教书育人
我们教书育人,核心就是培养我们的学生
核心就是培养我们的学生,让他们成才
让他们成才,而不是一味的追求升学率的数字
你莫不如给他们多一些时间让他们做准备,但是李老师你有没有考虑过蹲班留级这样的事情
但是李老师你有没有考虑过蹲班留级这样的事情,对一个学生来说
对一个学生来说,可能会造成怎样的心理阴影
可能会造成怎样的心理阴影,咱们换位思考
咱们换位思考,如果是你你真的愿意接受学校这样的安排吗
如果是你你真的愿意接受学校这样的安排吗,李老师作为年轻教师
李老师作为年轻教师,你有拼劲
你有拼劲,有闯劲
有闯劲,有拼搏的劲头
有拼搏的劲头,我们都很认可
我们都很认可,但是如今高中生的培养
但是如今高中生的培养,心理层面的教育跟学科层面的教育一样重要
心理层面的教育跟学科层面的教育一样重要,这一点作为年级组长的你更应该清楚
这一点作为年级组长的你更应该清楚,更应该掌握好
更应该掌握好,我们做老师的还是要相信所有的教育都会有收获的那一天
我也会告诉各个班的班主任做好后续的跟进工作,好
好,李老师我是充分相信你和全体高三老师的能力
李老师我是充分相信你和全体高三老师的能力,我相信这一届高三学生到毕业那天同样会非常出色
我来办,迷妹挺多
迷妹挺多,你怎么在这呢
你怎么在这呢,你的车没事吧
你的车没事吧,没事
没事,都过去
都过去,方一凡这人你也知道
方一凡这人你也知道,并不坏
并不坏,爱乍乎
爱乍乎,成天招猫斗狗的
成天招猫斗狗的,你就别跟他计较了
你就别跟他计较了,方一凡他是什么样的人
方一凡他是什么样的人,跟我没关系
跟我没关系,别跟我提他
别跟我提他,回来了
回来了,回来了
回来了,是不是都饿了
是不是都饿了,马上开饭
马上开饭,今儿没学生啊
今儿没学生啊,今儿我太忙
今儿我太忙,又弄这种药膳
又弄这种药膳,不喜欢喝这种药味汤
不喜欢喝这种药味汤,不是给你的放心
不是给你的放心,是给妈自己喝的
是给妈自己喝的,你怎么了
你怎么了,不舒服吗
不舒服吗,最近睡的不好
最近睡的不好,睡得不好 老是失眠
睡得不好 老是失眠,可能是压力太大了
可能是压力太大了,又怨压力大
又怨压力大,你说什么
你说什么,没什么
没什么,我学习去了
我学习去了,先别学了
先别学了,把饭吃了再说
把饭吃了再说,你压力大
你压力大,我压力才大
我压力才大,alexander懂不懂
daddy,你怎么来了
我给孩子拿着点东西,咱们说好了一个月见一次的
咱们说好了一个月见一次的,别坏了规矩好不好
别坏了规矩好不好,天天来打扰，你先回去把
你把门打开,他那做卷子
他那做卷子,我这也有学生都挺忙的
我这也有学生都挺忙的,别打扰了
别打扰了,先回去
先回去,怎么上来的
人家物业经理亲自把我送上来的,有本事让他送进门
有本事让他送进门,你一趟趟跑
你一趟趟跑,你到底要干嘛
我给孩子把货送过来,高三哪有时间玩这个
高三哪有时间玩这个,拿走
我这当爸爸的不得支持吗,那么多年都没见你支持
那么多年都没见你支持,到了高三了支持什么
到了高三了支持什么,不行
我就放下就走了,不知道他现在很忙
你就让我进去好不好,不行
英子,爸 你咋来了 
你看看,对对对
对对对,这就是我想的型号
这就是我想的型号,谢谢
谢谢,要不您还是拿回去
要不您还是拿回去,我最近忙着学习
我最近忙着学习,我妈肯定不让我玩
最近怎么那么忙,这不是快分班考了吗
这不是快分班考了吗,我妈整天盯着我做题
你跟爸说说你大学想考哪个学校,大学 这不还有一年吗
大学 这不还有一年吗,爸
爸,你怎么突然这么关心我学习了
准备过来帮帮他,您不来帮他忙了
您不来帮他忙了,手感不错吧
手感不错吧,这个可是我妈为了我的高三 给我装的隔音墙
这个可是我妈为了我的高三 给我装的隔音墙,据说这隔音量
据说这隔音量,能够达到45分贝
就手感不错,我骗你干嘛
我骗你干嘛,这就跟明星录唱片的地方
这就跟明星录唱片的地方,就录音棚一个效果
就录音棚一个效果,你里边说什么外面都听不到
不是，你不是说听不见吗,那也没让你有吼的大哥
那也没让你有吼的大哥,把门关上
把门关上,你誓师大会要跟谁见
你誓师大会要跟谁见,你要跟谁见啊
我作为爸爸我还不能见孩子吗,这扯什么，我什么时候不让你见孩子了
这扯什么，我什么时候不让你见孩子了,你跟我扯是吧
你跟我扯是吧,好好我给你算
好好我给你算,咱以前是不是说好一个月见一次的
咱以前是不是说好一个月见一次的,你这个月是不是犯病了
你这个月是不是犯病了,送铅笔盒一回
送铅笔盒一回,送书包一次
送书包一次,送充电宝一回
送充电宝一回,送蓝牙耳机一回
送蓝牙耳机一回,今天又来送什么
