Input,Output
真巧,车没事了
是你呀 没事了没事 谢谢你,没事没事 你也去春风
对,你孩子也在这上学
对呀,真巧 我儿子也在这
真巧 我儿子也在这,你孩子几年级
高三了,哪个班
三班啊,我儿子也三班
我儿子也三班,我儿子叫方一凡
我儿子叫方一凡,你孩子叫什么
我儿子叫季杨杨,季杨杨，好像我听凡凡说过
季杨杨，好像我听凡凡说过,对
对,是不是每次开家长会来的都是他爸爸
那是他舅舅,我说呢这么年轻
妈,你不要叫我妈
你不要叫我妈,我不是你妈
妈，我错了,你没错
你没错,我错了
我错了,我为什么要生你
我为什么要生你,我吃饱了撑的我就不该生你
我吃饱了撑的我就不该生你,方一凡我真的不明白你脑子里面天天在想什么
方一凡我真的不明白你脑子里面天天在想什么,你是不是真的不知道现在高几了
你是不是真的不知道现在高几了,你不知道我告诉你
你不知道我告诉你,你现在高三了
你现在高三了,不再是高一高二了
不再是高一高二了,你说
你说,你说你 天天天天
你说你 天天天天,学习不灵，打架门清，一个暑假我给你报个补习班
学习不灵，打架门清，一个暑假我给你报个补习班,原指望你好好学习能上去
原指望你好好学习能上去,结果断崖式的下滑
结果断崖式的下滑,你对得起我吗
你对得起我吗,妈妈高三那年妈妈怎么跟你讲的吗
其他都特别棒,你为什么一点不随妈妈
你为什么一点不随妈妈,凡凡
我随我爸爸,你也没随你爸
你也没随你爸,你爸也是学霸
你爸也是学霸,当年成绩也很好
当年成绩也很好,这两年才堕落的
这两年才堕落的,才玩物丧志的
才玩物丧志的,还给你搞什么乌龟
然后咱不是说好还得去趟超市吗,方一凡你什么都能记住
方一凡你什么都能记住,又是超市又是烤鸭
又是超市又是烤鸭,你就是不记住你的学习上的事
你就是不记住你的学习上的事,是不是
别生气了,凡凡，磊磊来了
凡凡，磊磊来了,你真的要懂事一些
你真的要懂事一些,磊磊妈妈走了
磊磊妈妈走了,他爸爸对他不怎么样也不上心
他爸爸对他不怎么样也不上心,摊上那么个后妈
摊上那么个后妈,磊磊来了你要跟他好好相处
磊磊来了你要跟他好好相处,要好好向他学习
要好好向他学习,磊磊等于跟你是有1/4血缘关系的
磊磊等于跟你是有1/4血缘关系的,真等于亲兄弟
真等于亲兄弟,你听到没有
他有北京户口吗,你操这个心干什么
你操这个心干什么,该你操心的你不操心
该你操心的你不操心,不该你操心的你瞎操心
不该你操心的你瞎操心,他怎么没有北京户口
他怎么没有北京户口,你大姨他当年嫁到福建的时候
你大姨他当年嫁到福建的时候,户口没调过去
户口没调过去,他随你大姨一直留在北京的户口就在咱们家
你早跟我说不就完了吗,你问我了吗
你的车没事吧,没事
没事,都过去
你就别跟他计较了,方一凡他是什么样的人
方一凡他是什么样的人,跟我没关系
跟我没关系,别跟我提他
别跟我提他,回来了
回来了,回来了
回来了,是不是都饿了
是不是都饿了,马上开饭
马上开饭,今儿没学生啊
今儿没学生啊,今儿我太忙
今儿我太忙,又弄这种药膳
又弄这种药膳,不喜欢喝这种药味汤
不喜欢喝这种药味汤,不是给你的放心
不是给你的放心,是给妈自己喝的
